진료과목코드,진료과목명,관련 증상
01,내과,"감기, 기침, 콧물, 가래, 인후통, 발열, 오한, 복통, 소화불량, 속쓰림, 구토, 설사, 변비, 만성피로, 무기력증, 체중감소, 가슴답답함, 두근거림, 부종, 갈증, 잦은 소변"
02,신경과,"두통, 편두통, 어지럼증, 손발저림, 안면마비, 기억력 저하, 건망증, 수면장애, 손떨림, 보행이상, 실신, 언어장애, 감각이상"
03,정신건강의학과,"우울감, 불안, 초조, 불면증, 가슴두근거림, 공황발작, 극심한 스트레스, 식욕이상, 감정기복, 무기력증, 대인기피, 집중력 저하"
04,외과,"심한 복부 통증, 만져지는 멍울, 피부 종기, 화상, 깊은 상처, 피하 출혈, 항문 통증, 혈변, 탈장 의심, 유방 통증 및 멍울"
05,정형외과,"허리 통증, 목 통증, 어깨 뻐근함, 무릎 통증, 손목/발목 시큰거림, 뼈가 부러진 느낌, 근육통, 관절 붓기, 인대 늘어남, 삠, 쥐남"
06,신경외과,"극심한 두통, 뒷목 통증, 허리 통증과 동반된 다리 저림, 팔다리 마비 증상, 심한 방사통, 거북목/일자목 증상"
07,흉부외과,"가슴 찌르는 통증, 호흡 곤란, 잦은 기침과 피 가래, 심한 손발 다한증, 가슴 두근거림"
08,성형외과,"깊은 흉터, 찢어진 상처, 피부 외상, 화상 후유증, 안면 비대칭, 선천성 기형"
09,마취통증의학과,"원인 모를 만성 통증, 대상포진 후 극심한 통증, 신경통, 척추/관절 통증, 목/허리 디스크 통증"
10,산부인과,"하복부 통증, 생리통, 생리불순, 비정상적 출혈, 질 분비물 이상, 가려움증, 임신 의심, 입덧, 갱년기 홍조 및 발한"
11,소아청소년과,"소아 발열, 소아 기침, 소아 복통, 구토, 설사, 영유아 피부 발진, 식욕 부진, 성장 및 발달 지연, 야제증(밤에 깸)"
12,안과,"시력 저하, 눈 침침함, 안구 건조, 눈 충혈, 눈물 흘림, 눈 통증, 이물감, 눈부심, 비문증(날파리증), 시야 흐려짐"
13,이비인후과,"코막힘, 심한 콧물, 재채기, 목 붓음, 침 삼킬 때 통증, 쉰 목소리, 귀 통증, 이명(귀 울림), 귀 먹먹함, 회전성 어지럼증, 코피"
14,피부과,"피부 가려움, 붉은 발진, 두드러기, 여드름, 뾰루지, 각질, 색소 침착, 기미, 사마귀, 티눈, 원형 탈모, 두피 가려움, 발톱 무좀"
15,비뇨의학과,"소변 볼 때 통증, 빈뇨(자주 마려움), 잔뇨감, 야간뇨, 혈뇨, 옆구리 및 하복부 찌르는 통증, 요실금"
21,재활의학과,"만성 근골격계 통증, 수술 후 관절 뻣뻣함, 체형 불균형, 일자목/거북목 증후군, 보행 이상, 스포츠 손상 후유증"
23,가정의학과,"이유 없는 피로감, 전반적인 컨디션 저하, 체중 급감/급증, 금연 상담, 가벼운 감기 증상, 건강검진 결과 상담"
24,응급의학과,"참을 수 없는 급성 복통, 심한 출혈, 호흡 곤란, 심박수 이상, 의식 저하, 급성 알레르기 쇼크(아나필락시스)"
49,치과,"치아 통증, 시린 이, 잇몸 붓기 및 출혈, 씹을 때 통증, 턱관절 딱딱거림, 심한 입냄새, 치아 흔들림"
80,한방내과,"원인 모를 만성 소화불량, 수족냉증, 만성 피로, 체력 저하, 잦은 감기, 기력 저하, 헛땀, 갱년기 화병"
